LocalDateTime,DateTime,hour,minute,BA_total,wind_check,lower_wind,upper_wind,quantile,variance,extracted_hour
2018-12-31T20:00:00.0,2019-01-01T00:00:00.0,0,0,1581.5036584,1.0,1169.4079743485015,1799.1384959,0.42633303272269,29000.307997943833,20
2018-12-31T20:05:00.0,2019-01-01T00:05:00.0,0,5,1580.44609621,1.0,1169.4079743485015,1799.1384959,0.42418036208826126,29000.307997943833,20
2018-12-31T20:10:00.0,2019-01-01T00:10:00.0,0,10,1579.3326848,1.0,1169.4079743485015,1799.1384959,0.4219140102188312,29000.307997943833,20
2018-12-31T20:15:00.0,2019-01-01T00:15:00.0,0,15,1585.2821855,1.0,1171.315531555868,1799.1384959,0.42619194390893017,28901.846289034467,20
2018-12-31T20:20:00.0,2019-01-01T00:20:00.0,0,20,1586.2937756000001,1.0,1171.315531555868,1799.1384959,0.4282413871471858,28901.846289034467,20
2018-12-31T20:25:00.0,2019-01-01T00:25:00.0,0,25,1580.5273646,1.0,1171.315531555868,1799.1384959,0.41657658915032153,28901.846289034467,20
2018-12-31T20:30:00.0,2019-01-01T00:30:00.0,0,30,1582.2404016,1.0,1131.0833611272985,1799.1384959,0.412953046856603,33015.745175569784,20
2018-12-31T20:35:00.0,2019-01-01T00:35:00.0,0,35,1584.3186696,1.0,1131.0833611272985,1799.1384959,0.41673570747830885,33015.745175569784,20
2018-12-31T20:40:00.0,2019-01-01T00:40:00.0,0,40,1587.4504579,1.0,1131.0833611272985,1799.1384959,0.42244850016444857,33015.745175569784,20
2018-12-31T20:45:00.0,2019-01-01T00:45:00.0,0,45,1589.627571,1.0,1089.174436799578,1799.1384959,0.4009200660933342,37285.05292874202,20
2018-12-31T20:50:00.0,2019-01-01T00:50:00.0,0,50,1592.150195,1.0,1089.174436799578,1799.1384959,0.40497449916438116,37285.05292874202,20
2018-12-31T20:55:00.0,2019-01-01T00:55:00.0,0,55,1593.898619,1.0,1089.174436799578,1799.1384959,0.4077846159664939,37285.05292874202,20
2018-12-31T21:00:00.0,2019-01-01T01:00:00.0,1,0,1594.071095,1.0,1284.4198242437474,1799.1384959,0.5075056461251729,16853.829637397546,21
2018-12-31T21:05:00.0,2019-01-01T01:05:00.0,1,5,1594.3605674,1.0,1284.4198242437474,1799.1384959,0.5083801707427529,16853.829637397546,21
2018-12-31T21:10:00.0,2019-01-01T01:10:00.0,1,10,1594.6821384,1.0,1284.4198242437474,1799.1384959,0.5093516683908872,16853.829637397546,21
2018-12-31T21:15:00.0,2019-01-01T01:15:00.0,1,15,1604.9324326,1.0,1212.8547514879297,1799.1384959,0.5443367107613011,23483.174411176704,21
2018-12-31T21:20:00.0,2019-01-01T01:20:00.0,1,20,1618.759205,1.0,1212.8547514879297,1799.1384959,0.5782162348853408,23483.174411176704,21
2018-12-31T21:25:00.0,2019-01-01T01:25:00.0,1,25,1630.6564482,1.0,1212.8547514879297,1799.1384959,0.6069170078453653,23483.174411176704,21
2018-12-31T21:30:00.0,2019-01-01T01:30:00.0,1,30,1638.3764354,1.0,1041.1530829544004,1799.1384959,0.5954838217657927,42067.36675857846,21
2018-12-31T21:35:00.0,2019-01-01T01:35:00.0,1,35,1650.235061,1.0,1041.1530829544004,1799.1384959,0.615109404581681,42067.36675857846,21
2018-12-31T21:40:00.0,2019-01-01T01:40:00.0,1,40,1666.3404994,1.0,1041.1530829544004,1799.1384959,0.641295613846423,42067.36675857846,21
2018-12-31T21:45:00.0,2019-01-01T01:45:00.0,1,45,1656.4369895,1.0,1007.6842319639284,1799.1384959,0.6024766252518036,46256.45278079528,21
2018-12-31T21:50:00.0,2019-01-01T01:50:00.0,1,50,1645.799605,1.0,1007.6842319639284,1799.1384959,0.5860355246208279,46256.45278079528,21
2018-12-31T21:55:00.0,2019-01-01T01:55:00.0,1,55,1643.0252183,1.0,1007.6842319639284,1799.1384959,0.5817240588355964,46256.45278079528,21
2018-12-31T22:00:00.0,2019-01-01T02:00:00.0,2,0,1645.5718223000001,1.0,1019.870990154218,1799.1384959,0.5998476502185406,44661.84549075877,22
2018-12-31T22:05:00.0,2019-01-01T02:05:00.0,2,5,1640.0506819,1.0,1019.870990154218,1799.1384959,0.591026834812077,44661.84549075877,22
2018-12-31T22:10:00.0,2019-01-01T02:10:00.0,2,10,1644.4754047000001,1.0,1019.870990154218,1799.1384959,0.5980959655017386,44661.84549075877,22
2018-12-31T22:15:00.0,2019-01-01T02:15:00.0,2,15,1649.0330008,1.0,986.0662773739169,1799.1384959,0.6057117296993494,48733.11170882173,22
2018-12-31T22:20:00.0,2019-01-01T02:20:00.0,2,20,1654.4092818,1.0,986.0662773739169,1799.1384959,0.6137851758795753,48733.11170882173,22
2018-12-31T22:25:00.0,2019-01-01T02:25:00.0,2,25,1659.7701543,1.0,986.0662773739169,1799.1384959,0.6217900344962191,48733.11170882173,22
2018-12-31T22:30:00.0,2019-01-01T02:30:00.0,2,30,1660.1467789,1.0,903.645964076946,1799.1384959,0.6179304921804241,59346.7431790526,22
2018-12-31T22:35:00.0,2019-01-01T02:35:00.0,2,35,1665.8313027,1.0,903.645964076946,1799.1384959,0.6254303780967583,59346.7431790526,22
2018-12-31T22:40:00.0,2019-01-01T02:40:00.0,2,40,1672.7247867,1.0,903.645964076946,1799.1384959,0.6344658109611582,59346.7431790526,22
2018-12-31T22:45:00.0,2019-01-01T02:45:00.0,2,45,1677.5694138,1.0,848.5224932772211,1799.1384959,0.6246075175112898,66978.27537316922,22
2018-12-31T22:50:00.0,2019-01-01T02:50:00.0,2,50,1678.8692815,1.0,848.5224932772211,1799.1384959,0.6261794211653718,66978.27537316922,22
2018-12-31T22:55:00.0,2019-01-01T02:55:00.0,2,55,1678.8840645,1.0,848.5224932772211,1799.1384959,0.6261972979475385,66978.27537316922,22
2018-12-31T23:00:00.0,2019-01-01T03:00:00.0,3,0,1681.0646405,1.0,1085.0464403611868,1799.1384959,0.5901902211133626,37786.02575194137,23
2018-12-31T23:05:00.0,2019-01-01T03:05:00.0,3,5,1688.0739855,1.0,1085.0464403611868,1799.1384959,0.6018207999053656,37786.02575194137,23
2018-12-31T23:10:00.0,2019-01-01T03:10:00.0,3,10,1675.9175555,1.0,1085.0464403611868,1799.1384959,0.5815917980821186,37786.02575194137,23
2018-12-31T23:15:00.0,2019-01-01T03:15:00.0,3,15,1604.7894585,1.0,1248.5702473950787,1799.1384959,0.4568522398284729,21679.383002379443,23
2018-12-31T23:20:00.0,2019-01-01T03:20:00.0,3,20,1561.1754725,1.0,1248.5702473950787,1799.1384959,0.35200522548062896,21679.383002379443,23
2018-12-31T23:25:00.0,2019-01-01T03:25:00.0,3,25,1536.5959344999999,1.0,1248.5702473950787,1799.1384959,0.2970410456252029,21679.383002379443,23
2018-12-31T23:30:00.0,2019-01-01T03:30:00.0,3,30,1507.5914585,1.0,853.3173638574401,1799.1384959,0.365815390430464,65844.64832704142,23
2018-12-31T23:35:00.0,2019-01-01T03:35:00.0,3,35,1495.1593495,1.0,853.3173638574401,1799.1384959,0.3517300429363584,65844.64832704142,23
2018-12-31T23:40:00.0,2019-01-01T03:40:00.0,3,40,1480.6915645,1.0,853.3173638574401,1799.1384959,0.3356037659676536,65844.64832704142,23
2018-12-31T23:45:00.0,2019-01-01T03:45:00.0,3,45,1459.6350916,1.0,633.2793880223716,1799.1384959,0.34777257752184454,98402.20416698372,23
2018-12-31T23:50:00.0,2019-01-01T03:50:00.0,3,50,1431.1810836,1.0,633.2793880223716,1799.1384959,0.323492831966186,98402.20416698372,23
2018-12-31T23:55:00.0,2019-01-01T03:55:00.0,3,55,1405.5012466,1.0,633.2793880223716,1799.1384959,0.30219797809953686,98402.20416698372,23
2019-01-01T00:00:00.0,2019-01-01T04:00:00.0,4,0,1402.854966,1.0,230.6755497767681,1799.1384959,0.3336793591074453,170989.0906702457,0
2019-01-01T00:05:00.0,2019-01-01T04:05:00.0,4,5,1407.8158004,1.0,230.6755497767681,1799.1384959,0.33660336658408474,170989.0906702457,0
2019-01-01T00:10:00.0,2019-01-01T04:10:00.0,4,10,1405.6600451,1.0,230.6755497767681,1799.1384959,0.33533272456970803,170989.0906702457,0
2019-01-01T00:15:00.0,2019-01-01T04:15:00.0,4,15,1392.9401635,1.0,0.0,1799.1384959,0.4557911298863041,688661.682003895,0
2019-01-01T00:20:00.0,2019-01-01T04:20:00.0,4,20,1394.6365335,1.0,0.0,1799.1384959,0.4560685051345387,688661.682003895,0
2019-01-01T00:25:00.0,2019-01-01T04:25:00.0,4,25,1388.44401995,1.0,0.0,1799.1384959,0.45505596071137194,688661.682003895,0
2019-01-01T00:30:00.0,2019-01-01T04:30:00.0,4,30,1395.2721331,1.0,256.3155121418488,1799.1384959,0.33315007909091,166702.04518077942,0
