2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
40170.17,38347.5,37813.16,40879.03,42144.094,44141.164,46681.51,49984.664,53351.57,58253.105,61090.297,64060.633,61785.855,63394.523,63218.977,61250.562,60054.832,58802.2,56432.36,53880.965,51334.93,48796.914,45704.723,43029.605,40953.406,39378.3,38353.41,40425.906,39060.242,40618.707,44262.332,49338.48,51712.31,52548.055,55460.094,58974.145,62904.086,62454.73,62197.19,62267.633,61112.39,59387.598,56669.484,54466.043,51714.824,47484.965,44253.29,42018.77
40394.5,38572.656,38038.086,41076.543,42351.05,44331.824,46892.24,50188.453,53556.914,58440.89,61277.438,64224.504,62009.008,63617.684,63428.13,61470.383,60278.492,59019.676,56655.47,54092.074,51555.574,49019.47,45928.69,43251.254,41177.86,39601.57,38579.176,40643.33,39283.598,40842.383,44485.023,49550.645,51939.55,52770.688,55684.645,59198.21,63121.42,62680.887,62422.684,62490.645,61336.605,59612.777,56894.062,54687.84,51939.5,47708.445,44477.17,42240.832
40606.01,38784.945,38250.156,41262.77,42546.18,44511.586,47090.918,50380.594,53750.523,58617.94,61453.883,64379.008,62219.406,63828.09,63625.33,61677.637,60489.37,59224.727,56865.832,54291.12,51763.61,49229.31,46139.86,43460.23,41389.48,39812.082,38792.04,40848.324,39494.19,41053.273,44694.99,49750.684,52153.81,52980.594,55896.367,59409.473,63326.34,62894.113,62635.285,62700.91,61548.008,59825.086,57105.805,54896.965,52151.332,47919.152,44688.26,42450.2
40806.535,38986.207,38451.21,41439.324,42731.176,44682.01,47279.285,50562.754,53934.08,58785.797,61621.16,64525.49,62418.88,64027.566,63812.285,61874.13,60689.297,59419.125,57065.266,54479.83,51960.84,49428.25,46340.06,43658.355,41590.117,40011.656,38993.844,41042.67,39693.848,41253.21,44894.047,49940.332,52356.934,53179.598,56097.09,59609.758,63520.613,63096.27,62836.848,62900.258,61748.43,60026.37,57306.55,55095.227,52352.168,48118.914,44888.387,42648.7
40997.547,39177.92,38642.73,41607.5,42907.395,44844.348,47458.71,50736.27,54108.92,58945.688,61780.504,64665.02,62608.887,64217.582,63990.37,62061.297,60879.734,59604.3,57255.24,54659.582,52148.71,49617.75,46530.76,43847.082,41781.23,40201.766,39186.074,41227.8,39884.027,41443.664,45083.664,50120.98,52550.426,53369.16,56288.293,59800.547,63705.67,63288.836,63028.844,63090.145,61939.344,60218.105,57497.773,55284.082,52543.47,48309.2,45079.016,42837.777
41180.242,39361.293,38825.91,41768.355,43075.94,44999.62,47630.33,50902.234,54276.156,59098.62,61932.914,64798.477,62790.62,64399.324,64160.707,62240.316,61061.887,59781.414,57436.94,54831.51,52328.402,49799.0,46713.164,44027.59,41964.023,40383.598,39369.938,41404.87,40065.934,41625.83,45265.023,50293.77,52735.492,53550.473,56471.168,59983.023,63882.67,63473.016,63212.484,63271.766,62121.945,60401.492,57680.668,55464.72,52726.445,48491.203,45261.348,43018.625
41355.613,39537.31,39001.746,41922.766,43237.73,45148.668,47795.062,51061.547,54436.684,59245.418,62079.21,64926.582,62965.074,64573.78,64324.21,62412.16,61236.734,59951.43,57611.36,54996.547,52500.895,49972.99,46888.25,44200.863,42139.492,40558.137,39546.43,41574.844,40240.543,41800.688,45439.113,50459.63,52913.14,53724.516,56646.715,60158.188,64052.58,63649.812,63388.766,63446.11,62297.227,60577.527,57856.234,55638.113,52902.086,48665.906,45436.367,43192.223
41524.49,39706.81,39171.07,42071.453,43393.527,45292.195,47953.7,51214.957,54591.266,59386.78,62220.09,65049.94,63133.062,64741.777,64481.66,62577.64,61405.105,60115.145,57779.316,55155.473,52666.992,50140.527,47056.85,44367.72,42308.457,40726.215,39716.387,41738.516,40408.688,41969.066,45606.758,50619.344,53084.21,53892.11,56815.758,60326.863,64216.19,63820.062,63558.51,63613.992,62466.016,60747.043,58025.297,55805.082,53071.223,48834.14,45604.906,43359.39
41687.566,39870.49,39334.582,42215.04,43543.977,45430.797,48106.89,51363.1,54740.547,59523.293,62356.133,65169.07,63295.285,64904.008,64633.707,62737.438,61567.7,60273.246,57941.51,55308.94,52827.395,50302.32,47219.67,44528.848,42471.625,40888.523,39880.508,41896.574,40571.06,42131.67,45768.645,50773.58,53249.406,54053.953,56979.0,60489.754,64374.188,63984.47,63722.438,63776.113,62629.01,60910.74,58188.555,55966.324,53234.555,48996.6,45767.664,43520.82
41845.453,40028.957,39492.887,42354.047,43689.637,45564.984,48255.2,51506.527,54885.066,59655.457,62487.844,65284.402,63452.34,65061.07,64780.91,62892.15,61725.113,60426.31,58098.54,55457.523,52982.684,50458.957,47377.3,44684.844,42629.598,41045.66,40039.402,42049.598,40728.26,42289.094,45925.38,50922.902,53409.344,54210.645,57137.043,60647.453,64527.152,64143.637,63881.137,63933.07,62786.816,61069.223,58346.613,56122.426,53392.68,49153.887,45925.234,43677.11
41998.656,40182.727,39646.5,42488.94,43830.977,45695.19,48399.113,51645.703,55025.31,59783.703,62615.65,65396.316,63604.742,65213.477,64923.75,63042.273,61877.863,60574.832,58250.914,55601.7,53133.375,50610.953,47530.258,44836.215,42782.887,41198.145,40193.586,42198.086,40880.8,42441.85,46077.465,51067.797,53564.54,54362.688,57290.402,60800.477,64675.582,64298.09,64035.137,64085.375,62939.94,61223.008,58499.99,56273.906,53546.12,49306.51,46078.133,43828.766
42147.633,40332.25,39795.87,42620.105,43968.414,45821.805,48539.055,51781.035,55161.676,59908.406,62739.926,65505.14,63752.934,65361.676,65062.645,63188.25,62026.39,60719.258,58399.08,55741.895,53279.902,50758.75,47678.992,44983.406,42931.94,41346.414,40343.516,42342.473,41029.13,42590.395,46225.35,51208.69,53715.445,54510.535,57439.527,60949.277,64819.914,64448.273,64184.883,64233.473,63088.84,61372.547,58649.13,56421.2,53695.324,49454.92,46226.812,43976.234
42292.77,40477.92,39941.395,42747.895,44102.312,45945.156,48675.395,51912.883,55294.527,60029.9,62861.0,65611.164,63897.31,65506.055,65197.96,63330.47,62171.098,60859.96,58543.43,55878.48,53422.652,50902.742,47823.9,45126.81,43077.16,41490.863,40489.58,42483.14,41173.64,42735.105,46369.43,51345.957,53862.47,54654.574,57584.81,61094.242,64960.527,64594.594,64330.77,64377.758,63233.906,61518.234,58794.426,56564.7,53840.688,49599.508,46371.66,44119.902
42434.418,40620.094,40083.414,42872.61,44232.99,46065.543,48808.45,52041.56,55424.188,60148.47,62979.164,65714.63,64038.21,65646.96,65330.027,63469.266,62312.32,60997.28,58684.305,56011.777,53561.973,51043.27,47965.316,45266.76,43218.883,41631.84,40632.133,42620.426,41314.67,42876.34,46510.043,51479.92,54005.957,54795.145,57726.598,61235.723,65097.76,64737.39,64473.15,64518.574,63375.48,61660.418,58936.23,56704.75,53982.55,49740.617,46513.023,44260.117
42572.88,40759.066,40222.246,42994.52,44360.73,46183.223,48938.516,52167.34,55550.934,60264.375,63094.67,65815.77,64175.95,65784.7,65459.12,63604.945,62450.37,61131.516,58822.016,56142.082,53698.16,51180.637,48103.555,45403.566,43357.42,41769.65,40771.48,42754.625,41452.535,43014.4,46647.492,51610.875,54146.215,54932.56,57865.2,61374.023,65231.906,64876.98,64612.33,64656.223,63513.87,61799.406,59074.848,56841.652,54121.227,49878.555,46651.21,44397.18
42708.434,40895.12,40358.16,43113.87,44485.785,46298.43,49065.85,52290.48,55675.016,60377.844,63207.754,65914.8,64310.79,65919.555,65585.5,63737.773,62585.52,61262.93,58956.832,56269.65,53831.49,51315.12,48238.89,45537.496,43493.047,41904.562,40907.902,42886.004,41587.5,43149.56,46782.06,51739.08,54283.53,55067.086,58000.887,61509.418,65363.234,65013.637,64748.586,64790.98,63649.355,61935.473,59210.55,56975.676,54256.99,50013.594,46786.496,44531.363
42841.324,41028.5,40491.402,43230.875,44608.383,46411.37,49190.68,52411.2,55796.656,60489.086,63318.613,66011.87,64442.984,66051.75,65709.4,63867.99,62718.016,61391.758,59089.004,56394.707,53962.195,51446.96,48371.566,45668.797,43626.01,42036.824,41041.64,43014.805,41719.816,43282.06,46913.977,51864.758,54418.145,55198.97,58133.91,61642.15,65491.984,65147.61,64882.164,64923.09,63782.176,62068.863,59343.586,57107.066,54390.082,50145.98,46919.12,44662.91
