forecast_time,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
2018-07-18T10:00:00.0,484.4706612,494.7320681,507.047867,515.007609,516.2203651,516.2232205,516.2649573,516.2706014,519.4047547,523.9781872,525.6080339,525.6115197,529.6041466,532.4894649,534.8041319,535.5288453,539.3934233,543.5534687,543.6303389,548.2716901,549.5247942,550.6997831,552.2074238,553.5713314,553.7469924,554.4762376,554.6167743,555.8298442,556.8961164,558.6460173,561.0130452,563.0778776,565.5118258,566.0035873,567.4970229,569.8043431,569.9167154,572.7980059,572.932503,575.9421319,576.2559229,577.3830132,582.0458772,583.0324258,583.6650434,587.7796019,587.9782952,588.5246784,588.7471527,589.4521157,592.2976104,593.2122725,596.9046783,598.1573342,599.8947772,600.603916,602.0983761,604.7660113,605.7516245,606.6273116,606.98056,607.3667025,607.6786204,612.1169006,616.1321272,617.7955817,622.375547,622.8795688,623.0008409,623.4625375,624.8148375,631.7999054,633.1243447,635.5168443,636.7268821,637.5107249,638.3415564,641.0206817,642.2465113,644.4680134,648.8731126,650.6891496,650.9077045,652.1518804,652.9840997,653.2410434,659.2429836,660.3350437,661.4902333,662.89735,663.5343732,664.3120001,666.0762729,666.8222341,668.9746937,669.3991908,674.1787668,677.1467341,678.131531
2018-07-18T11:00:00.0,568.396992,568.8318713,571.2009293,571.6756905,574.2951572,574.3705159,575.4405287,575.473829,575.8442189,581.7263119,581.7746441,582.5940581,583.9534965,584.1497864,585.4711282,585.9776326,586.4294727,586.5652148,588.979586,590.6938973,592.2743151,592.6089348,593.2385329,595.8600268,595.9262259,596.0597942,596.3018439,596.6088711,599.1804315,599.2777013,599.4309702,599.7325541,601.5711967,601.8044624,602.2706607,602.6025737,604.0804891,604.9404873,606.1645112,606.5090751,606.6808801,607.7668546,607.7800856,608.3565941,608.4462741,608.8223687,610.387369,612.87367,613.2182256,613.7217693,614.2855119,614.9993738,615.0825089,615.0967912,615.6632456,615.9556096,616.4511738,617.7727679,619.1212367,619.3672219,619.6836296,619.8699077,621.2558654,621.5441534,622.6555377,623.4125061,625.2364085,627.8837434,628.7519585,628.8265315,628.8627606,629.079054,629.7902111,631.1481871,632.6953878,634.5072387,634.5968044,635.0938918,635.3611542,635.7776625,635.7850695,636.7696993,637.0419356,637.385048,637.6733915,637.8283736,638.5494507,638.8059305,640.9181507,641.6956085,641.7941823,643.1267375,645.2799184,645.5894976,646.143487,646.3197692,647.5509888,648.7586708,649.244152
2018-07-18T12:00:00.0,522.4341016,523.7321288,524.3616955,537.005053,537.0885763,537.5179024,537.605808,539.1745128,539.9647351,540.6118147,542.442123,545.7792273,545.8522551,547.2325958,549.8075719,551.7867483,551.9218682,555.0402861,563.3305408,564.7601813,567.5511312,568.4361461,572.9241431,575.2069746,576.5302185,579.9617399,583.1410709,586.1349564,595.5404144,596.7534223,601.6358438,601.888279,603.9304788,608.0768571,608.2282697,609.7258172,609.7888525,610.0130822,610.4032198,610.8822784,611.2289061,611.8571697,614.862828,614.941923,616.4572706,620.9880194,621.9876802,621.9995705,628.2101708,628.2351545,631.4499639,633.9822136,636.0952056,639.0742558,639.8609415,639.9842152,641.0077432,641.9689872,644.3133161,646.1601329,647.2858842,647.5662364,648.2743868,650.6522847,652.2960692,658.736956,663.1494668,666.0202186,668.3163,668.4355094,670.2656131,670.2869766,672.8914784,676.5140817,684.2828017,687.5357193,687.6220193,688.2076692,689.2799238,690.3954238,690.511163,697.2326408,702.3627724,703.0474787,703.7498152,707.1545801,709.0646482,709.9147652,709.9220652,714.6388942,721.1103766,721.2171119,721.7174329,724.2814105,727.2616608,730.1448117,746.4740051,748.1541548,751.1763882
2018-07-18T13:00:00.0,557.1831898,557.5301008,563.4527591,564.9295326,572.6757395,572.6813555,573.8063455,574.0233113,575.1986667,575.2803553,576.8765381,578.622905,581.3145228,581.3921771,582.755566,583.2769134,585.1165205,589.7287626,591.0717351,591.4389618,594.8991897,595.2399272,595.6885289,597.0278235,597.9724412,598.1756267,598.9152359,599.3916174,600.3494424,600.4243536,600.897045,603.0232904,603.9709438,604.3927252,604.5094631,604.5650166,605.4484578,606.1622555,607.7618637,608.1377648,609.1966612,612.6602813,613.0490789,615.8610137,619.3758873,619.4631793,620.053023,621.1238093,621.2569745,621.9428588,622.1134206,625.4578258,625.6899935,626.0602473,627.1444997,628.3751008,630.6449275,630.8894479,630.9415037,632.0621951,632.7876388,633.021116,633.5129653,635.7914795,635.9740209,635.9831325,636.0560592,637.6403589,638.8282922,639.2843471,639.5939984,639.9206807,640.8709018,641.3978761,641.7414289,642.5040932,642.5277107,643.0415769,644.2440315,645.0095679,645.3559473,645.6350145,646.4918676,646.6658925,647.3708522,648.018382,649.8569016,650.5222752,650.7250734,650.900276,650.9297032,652.3776271,653.0325436,653.1629886,655.0102057,655.2972199,655.7982099,659.5921406,660.1008724
2018-07-18T14:00:00.0,508.9042267,508.943751,510.162985,514.0724106,520.6784725,520.6888938,526.5605524,529.3754053,530.556644,533.8541264,536.0532982,536.6024485,539.951558,541.1651931,541.7282608,543.0697206,543.5818784,544.6460843,548.87966,551.2774016,566.3443279,567.3800497,574.1333161,574.1440171,574.3972018,574.9869806,575.6045163,577.3471725,579.1448697,579.9795443,580.6100596,583.8053755,584.0596289,584.3192825,585.2047281,587.6867641,588.495896,589.3671829,590.7115108,592.5250531,592.9431687,593.0527023,595.0817634,596.9513476,597.4117343,601.9000487,602.0257271,602.5662754,603.6167817,604.5640808,606.0775055,606.8961517,612.184701,616.3629361,618.4035745,619.1561416,620.6075043,621.3743257,622.2560698,626.7740397,627.5753308,633.1934725,633.3844277,634.5095181,641.6710579,646.1140792,648.6479196,649.1596799,650.4214265,650.7330226,652.1289872,652.4242166,658.2633077,659.2490775,666.3141873,668.1230481,668.6577231,670.3355946,671.6189362,673.7876352,675.7133204,682.9968341,683.2062953,684.1271702,685.3723986,687.6087689,698.3940544,698.5970933,701.6800868,703.6587494,709.9684037,711.2287705,712.3780707,718.0610261,718.258229,719.9118433,721.7022058,722.0655125,722.3162718
2018-07-18T15:00:00.0,540.6941876,543.0649089,543.4187874,544.0739381,546.0261273,551.1586325,552.5889497,553.2769254,553.7248994,555.1188409,556.0494843,556.6358514,557.7593908,559.0249516,561.6549376,562.1936646,562.2718982,563.6733632,563.7825251,565.1453556,566.6419198,567.6754176,568.3741742,569.4859484,579.6093822,581.1548198,584.2886843,584.5704291,588.8483739,590.1713693,591.7203591,593.4501622,596.9470287,599.6996507,599.9433702,600.330278,606.1939585,606.6532118,608.4708779,610.0370529,610.6867776,610.8232828,610.9870202,614.6193893,614.6795778,615.2180856,616.6380555,616.6679145,618.978678,619.7449481,619.847254,620.7195704,620.8530807,622.9436014,623.4703495,624.2708576,624.3759369,626.3746311,626.8859815,628.3280725,628.9316985,629.886435,632.7282276,632.8501813,634.2690121,634.5321742,636.0751278,636.7360479,637.5908936,638.5772577,640.5483964,641.4888751,641.4916614,641.4994765,642.3217415,643.0230598,644.2080606,644.594977,644.7512979,647.5974794,649.7901349,653.4560295,653.6509983,655.2259554,656.9634926,657.9650241,659.653922,665.8273557,666.1978246,666.8673457,668.1249008,668.5034566,669.8539423,674.011534,674.6628273,676.3725851,678.0252871,679.3517978,680.4773101
2018-07-18T16:00:00.0,454.1093384,459.7090914,464.7469984,470.3278807,470.6036594,470.9977835,473.1459064,475.3443878,477.5470543,479.8701721,488.3701434,488.774332,493.1657867,497.0382487,497.8627945,500.0169164,500.4665594,500.8913695,503.0781475,505.6391287,515.0721106,515.6653429,515.9364025,520.2335553,521.8036717,521.9835341,523.2328883,524.6373121,528.2102343,530.1252646,533.0196108,533.2110448,543.7084518,544.4757592,546.8993011,548.2784246,548.5886106,551.0405114,551.824342,555.8327627,555.952719,558.4927919,559.1955442,559.6574923,564.6547377,566.8059198,567.6888818,568.9134299,569.7309844,571.0743667,572.2732699,573.1180128,575.0193362,575.0290602,575.2653975,579.753688,580.8461402,580.8482501,581.9121112,582.9356496,590.9584379,592.9354342,595.2907491,595.7715945,599.0587841,601.575298,603.5923179,603.9171776,604.0527081,607.3487689,609.7228225,611.4155666,612.4684286,615.7250986,616.4213048,617.3033936,618.3470437,621.7712729,625.4235316,625.634518,626.1524011,626.7378737,632.3533759,632.4886293,634.1241342,637.1073851,645.2240005,646.6752882,649.6313792,653.5854988,655.4509091,660.3543234,662.7402458,664.0367505,666.7343469,669.5946765,672.3248837,674.1171183,680.5019721
2018-07-18T17:00:00.0,329.6566174,333.5692617,333.8856433,334.0648793,337.0065249,337.6654162,343.2733313,347.2672509,349.460163,354.9254315,354.9386483,361.999278,366.1635188,374.576664,375.1029311,376.1576991,380.615262,382.4412299,383.0162004,383.256968,386.311872,387.143731,389.0112482,389.391751,392.1304543,396.6479444,401.8520083,401.997032,411.3100215,412.1618474,413.137288,413.343439,416.5340986,417.395331,421.2350613,422.4692084,425.7996002,427.6590457,429.0693989,430.5322713,433.3877188,434.5952143,435.032442,437.4163736,438.19923,440.8093052,441.9494704,443.603082,447.765183,449.1346397,449.9317609,451.7881505,452.9792309,453.0588837,453.3570285,455.5144035,456.3915295,457.5832705,458.4308805,459.4744531,459.904789,460.4061345,464.4925599,465.3757707,467.5171331,468.4588066,469.0340969,470.7382236,473.4629359,474.5224587,475.0990481,475.6034143,476.2255927,477.1358849,477.5481467,477.8100966,478.0934917,478.1253627,478.9970048,480.9333112,481.8703575,481.999313,484.7994081,486.1119597,488.7580158,488.9774387,489.4363717,489.8590077,490.1779468,490.7039728,490.8582337,492.6154098,494.0320527,494.7116816,495.7493463,497.0352104,497.1377868,498.1356536,499.9224736
2018-07-18T18:00:00.0,189.5811924,194.4752053,204.1006338,204.241796,207.4040312,208.8318852,211.5511603,216.3381934,217.8805872,218.6666109,221.0397293,226.4603537,226.6644544,238.4940868,244.2106413,247.5023233,248.5612987,248.9174069,250.7543995,251.9368863,252.7127995,255.5476076,255.7778109,259.1823004,263.3624006,265.5693751,266.3931054,274.2199613,274.3504391,277.0262734,278.1341552,279.0327834,282.6243093,284.0781409,285.2664461,286.0375205,286.065327,288.7748549,291.978335,292.3610194,293.9747324,296.854629,299.0444866,300.005912,301.7488671,304.5714084,305.5923962,307.2951125,307.9555009,308.3833371,309.7192158,310.9559484,312.3704039,313.511121,317.8138018,319.4945031,319.6121653,321.6379654,322.9734451,323.892539,326.7393796,327.9021329,328.7270853,328.97314,330.8769282,331.679886,331.7009609,331.969322,333.3512297,339.4799505,340.2090874,340.4149458,341.5385329,344.7405838,345.3117698,347.131117,350.0773715,353.3899919,353.3984618,358.3344355,362.7408873,362.8495252,364.1997792,364.3715508,364.5485925,364.686994,371.100229,372.2925181,373.1697629,373.6597945,374.8716015,376.3292126,377.7919491,378.3344605,379.2821081,379.3587624,381.4770686,383.292566,386.8097669
2018-07-18T19:00:00.0,7.70104902,10.4388233,11.38143679,11.91650755,13.89803571,14.68186412,17.57198351,18.49346889,21.48980463,22.79858151,25.46981454,26.78956055,29.07333673,31.32499506,45.01132279,46.17225728,46.29933396,46.3690517,46.55413944,46.8851186,47.09533451,47.23833194,48.08110678,48.2451093,48.80137915,51.16792089,56.65631825,57.84730923,58.53506934,58.89342067,60.64352296,60.66747974,61.54928892,61.86691326,62.45967423,64.03257603,65.02972621,66.31020718,66.93668526,67.36431101,67.83349762,68.42249692,68.59013835,68.90015931,68.99097615,70.02921222,70.0646515,71.9501246,71.98741385,72.83539443,73.3979826,73.42695698,73.63299008,75.04041793,75.52994992,75.77736149,75.86908181,76.04162368,76.83761095,77.58526629,78.47242575,78.83372071,80.15109308,80.93470868,85.88293381,86.27280155,86.54424984,86.57019127,88.95259305,91.15210834,92.3694145,92.75706219,93.21773651,93.44755607,95.9468777,98.02280944,99.26115681,99.39494804,99.45014304,100.5298504,101.9678292,102.1604979,102.7976726,102.8409065,102.9698529,105.6448724,105.8915202,106.36384,107.1832886,108.4925716,108.6569034,108.774371,110.5288741,111.6358524,112.0384331,112.1236948,112.8242161,113.2284552,114.7026627
