2018-07-18T00:00:00,2018-07-18T01:00:00,2018-07-18T02:00:00,2018-07-18T03:00:00,2018-07-18T04:00:00,2018-07-18T05:00:00,2018-07-18T06:00:00,2018-07-18T07:00:00,2018-07-18T08:00:00,2018-07-18T09:00:00,2018-07-18T10:00:00,2018-07-18T11:00:00,2018-07-18T12:00:00,2018-07-18T13:00:00,2018-07-18T14:00:00,2018-07-18T15:00:00,2018-07-18T16:00:00,2018-07-18T17:00:00,2018-07-18T18:00:00,2018-07-18T19:00:00,2018-07-18T20:00:00,2018-07-18T21:00:00,2018-07-18T22:00:00,2018-07-18T23:00:00,2018-07-19T00:00:00,2018-07-19T01:00:00,2018-07-19T02:00:00,2018-07-19T03:00:00,2018-07-19T04:00:00,2018-07-19T05:00:00,2018-07-19T06:00:00,2018-07-19T07:00:00,2018-07-19T08:00:00,2018-07-19T09:00:00,2018-07-19T10:00:00,2018-07-19T11:00:00,2018-07-19T12:00:00,2018-07-19T13:00:00,2018-07-19T14:00:00,2018-07-19T15:00:00,2018-07-19T16:00:00,2018-07-19T17:00:00,2018-07-19T18:00:00,2018-07-19T19:00:00,2018-07-19T20:00:00,2018-07-19T21:00:00,2018-07-19T22:00:00,2018-07-19T23:00:00
6560.346369,6598.761944,6943.809862,6600.279566,5579.425755,5977.897297,6292.502801,4191.614664,2548.619837,1946.305487,1250.273344,721.7855493,675.3235431,583.5435176,518.123791,641.7091793,1002.446864,1198.035654,1448.084491,2686.458467,4036.794604,5118.4088,6712.604341,6949.540538,7082.233866,6505.467111,7328.459346,6815.858253,5787.472983,6282.820627,5542.617216,3194.15337,2534.024112,2262.649499,1365.362503,907.3429331,798.2582505,915.215707,1267.925652,1395.460276,1673.435843,1691.309283,2804.434098,3921.918645,6717.184058,7221.18987,7065.610695,7278.291224
6711.946561,6677.509917,7214.191358,6802.03776,5820.476204,6441.774872,6605.601913,4307.252473,2666.62311,2004.36486,1253.846231,794.4318771,679.2084775,597.5641432,528.4036889,672.5334351,1008.392642,1251.149521,1452.231097,2688.561991,4205.588223,5242.506824,6723.881203,7042.155138,7215.538741,6607.287325,7852.441894,6960.926468,5936.266957,6312.591488,5732.82882,3243.956054,3142.72391,2460.64836,1379.820575,942.173669,802.9501102,1020.816362,1297.064562,1465.51364,1752.7547,1729.444209,2814.186644,3936.779486,6883.047073,7355.934158,7410.538744,7325.957341
6978.774713,6868.106645,7322.465076,6828.428931,5876.22557,6722.734732,6672.610159,4417.597092,2812.172814,2108.388458,1373.846326,834.382601,687.6476961,602.8264981,543.9623534,674.8604601,1060.954414,1263.268906,1462.869727,2820.895058,4275.513771,5264.417807,6757.393171,7177.159795,7343.7073,6944.777809,8135.072527,7080.757919,6494.33954,6372.598548,6000.276186,3366.317943,3220.854103,2498.270288,1393.743836,981.4351519,857.4954184,1025.089593,1308.005065,1547.628729,1780.770829,1766.379913,2856.350418,3955.172787,6904.934497,7504.829962,7437.685474,7396.674975
7060.051175,6893.874424,7367.942553,6847.621517,6108.120402,6727.201905,6731.150204,4465.000137,2840.170853,2111.172495,1402.374205,836.4745942,689.5996679,639.7463405,579.9348618,701.7121041,1064.165625,1282.785048,1495.373955,2903.169698,4321.479016,5424.430161,6914.192013,7208.315155,7408.186168,7043.642212,8294.306477,7107.299308,6496.522857,6554.526379,6060.026592,3447.61355,3408.436207,2511.362775,1428.205238,1018.270792,863.2919253,1091.908626,1350.103759,1627.138897,1801.619023,1767.434516,2931.576436,3992.180574,6967.822924,7565.56983,7538.307995,7571.603347
7619.891938,6973.660647,7426.797028,6992.562224,6181.433989,6823.109944,6816.065419,4507.29613,2946.370043,2124.205373,1414.539612,896.25382,708.6381599,700.6529672,594.2025719,706.211818,1067.209557,1390.177614,1496.325467,2948.146102,4442.664513,5597.038417,7151.464168,7220.460397,7516.179246,7085.473312,8428.948874,7131.512583,6593.838042,6698.145542,6079.15259,3487.680099,3523.625433,2606.428104,1499.591212,1073.159984,877.8807415,1099.933727,1403.062291,1687.503529,1876.617656,1780.986877,3007.541586,4066.740391,6969.332985,7675.4487,7666.151815,8076.529118
7867.160183,6988.370182,7519.878916,7118.953076,6323.624819,6848.795221,6937.972737,4732.777869,2962.639165,2260.549035,1423.414264,904.7135035,760.7183506,738.4634548,626.7958465,707.3790375,1076.114152,1398.612193,1566.793539,2972.300594,4478.103841,5622.012564,7181.337965,7264.055165,7847.204596,7219.700554,8584.556209,7314.467317,6712.802626,6711.082023,6131.077237,3667.747357,3579.807787,2645.858969,1530.019654,1218.87136,944.541831,1123.803939,1431.247808,1699.252014,1926.572877,1844.686518,3027.398539,4117.509252,7011.75529,7709.094084,8033.54813,8326.754015
7889.575654,7035.23667,7548.268631,7199.222089,6431.404385,7194.987689,6956.85968,4881.996534,3029.154522,2311.35467,1477.995713,909.9706523,786.641135,745.6332691,655.4839919,773.9811471,1083.082164,1401.779793,1586.00009,3068.915864,4558.738348,5651.608176,7543.460733,7638.787909,7885.862174,7344.629536,8584.871076,7525.085935,6981.169966,7064.270394,6157.419451,3803.663535,3725.996751,2669.033956,1586.344089,1286.818949,1016.10196,1126.342168,1446.450111,1753.011739,1970.759646,1873.559975,3096.82468,4196.839471,7154.020979,7770.521909,8072.411968,8380.921597
7997.411719,7396.39657,7830.829385,7242.392945,6528.477952,7211.7001,6958.807593,4924.41615,3106.178463,2403.053292,1482.573433,946.0645662,796.7445704,751.9035368,688.7082246,774.2611343,1106.725167,1429.740023,1644.425306,3079.015259,4685.134454,6170.53641,7584.209317,7681.300456,8003.823027,7432.24368,8659.039359,7787.618573,7271.689955,7110.26845,6289.376756,3859.33173,3781.744929,2689.160257,1591.508469,1358.141377,1022.847914,1140.064036,1453.62987,1758.024497,1976.797616,1906.140733,3097.255896,4338.078466,7177.836107,7779.826745,8116.991599,8417.44405
8230.083121,7655.793284,7983.039296,7270.838825,6685.619121,7521.559803,7009.175251,4983.170498,3186.330599,2582.956563,1486.743397,949.7070727,817.7799189,752.7620527,692.0638517,855.1345958,1107.931109,1430.121833,1668.79881,3132.262437,4697.113522,6285.414378,7700.281392,7691.329282,8303.002416,7693.442569,8695.40108,7804.281078,7276.137984,7132.81404,6444.825952,3872.577512,3783.263979,2756.734874,1601.568071,1419.443428,1099.054621,1168.119005,1498.76957,1834.791217,2047.782317,1916.052954,3112.109019,4377.246031,7428.180583,7817.37777,8494.755004,8444.880941
8252.979929,7728.623541,8014.25539,7565.433759,6723.787404,7540.46917,7071.614207,5000.709034,3203.468019,2612.376856,1494.753465,954.6895518,820.8684351,762.8661494,740.0620216,888.0864651,1113.217643,1449.12081,1669.607955,3152.186846,4703.137732,6290.940555,8300.396134,7724.415953,8351.768498,7765.16607,8706.439935,7870.178503,7361.350847,7211.119391,6449.351939,4207.951446,3840.932295,2766.832807,1711.332932,1434.13528,1101.197601,1194.94646,1503.454124,1838.203198,2065.041686,1921.791074,3113.345433,4423.811722,7476.852013,7925.990572,8600.572129,8710.809682
