datetime,datetime_issue,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
2018-06-10T17:00:00.0,2018-06-09T18:00:00.0,417.6586799577585,417.93480442499117,419.0277781973564,422.0413288900242,425.47391215571906,428.2090661935962,429.4179796151748,433.77521360164616,434.3171245908417,440.57341431132045,449.75915491415145,452.31246439118934,455.12619602294234,465.3392460968606,467.55944141544006,471.2163966955342,485.8360492443103,485.89459050222365,486.0591837871103,487.0890335076555,488.7494417003273,491.080980092613,494.7225427023644,495.4247099861137,495.85895348235545,500.2055779289671,501.6034319522917,503.50772651811724,505.1663582752224,505.55787087874785,506.2842393240993,508.31879808247686,508.4015370289857,514.658582711495,521.5234316067302,521.706345636559,521.8585367707283,524.1673747992998,525.1854707733924,527.6325508205721,529.3152960035095,530.575540940263,532.1056674320714,532.1788134013873,533.1751366132621,533.7440548314744,538.1831552227856,541.2206626750801,541.530087948958,544.0554220317694,544.4173463307343,546.0375266105796,549.7686437842245,550.0116227457725,557.1307994791305,557.7447901275065,560.5949052153677,563.0379313702671,563.379133181992,563.5383539329493,565.3075074610011,568.9693856735818,571.1740796141522,573.3723430982867,575.9237041778223,581.065500845906,585.6550252715299,585.8069828279273,588.9214287159942,591.9971107748116,592.8679391624978,593.3831012121718,595.3140283092496,597.0701363478802,599.2241391904217,599.4358525283144,600.0571264093184,600.2555949769617,600.4559558143649,601.9374783397458,608.0038417451266,609.1560062373262,609.6963488322617,609.891942542487,611.9964713783097,613.0404339950032,617.2465534630747,618.4830047941196,621.0407519936241,622.0118506661373,627.084914603148,629.7014587746911,631.0705745505414,632.8395511831284,633.0124323025061,637.5743255925008,641.3366697614986,645.0177651329658,646.8085677598184
2018-06-10T18:00:00.0,2018-06-09T18:00:00.0,436.6651885739866,442.1060003088903,442.4248410431747,443.680089307158,451.1070110183116,451.1708239024289,451.7737361130788,455.84151917429887,461.39018049007234,463.04456824612834,463.82283207732746,466.6166818970071,466.69650190405457,472.36357066537875,473.02533040427204,481.9594345561043,482.4947251857428,493.4494926128928,497.7364840354622,499.3112817346921,499.5728280413879,500.52339518917097,500.70331344080864,505.17796888987186,509.3892425869009,509.8083801378606,510.5075419710409,511.30284998427675,517.793025445777,519.0456444444113,524.5656016149775,527.9344205955242,529.9026255984811,531.0888743949054,536.1117017838925,537.6137574703369,540.9671941392346,549.720424586893,553.708581939636,557.2443785006581,560.133945451215,562.5267934044862,563.8397682479252,564.7577801111655,565.6019663036396,570.0274004629129,570.0544593634612,575.9887864816201,578.4639033415464,578.6881693783977,578.8742708205464,582.7685086700716,585.2712326698086,588.0308209017119,588.9214321588431,589.8220098379146,592.0801015171443,592.8354476592657,593.0473024139189,593.158066297721,594.7724401394481,595.0090558730515,595.1168367264365,601.7991007072457,603.5206531294767,604.3544463681083,605.7341140348548,605.8929270360228,608.5124442049986,610.799235990086,612.5458604797285,614.4070497055332,617.7154440552493,620.0781418346937,622.1745490035123,625.114077381499,625.1209613113556,625.2991417059997,626.4637551019532,627.0380107029304,627.2023514662291,627.5778546162412,632.0779754131606,643.5909399190973,645.0684912131037,648.0389808546107,661.9390352502188,662.2737089470696,664.6778790216765,668.2543758937549,670.3401367419901,670.6684410284587,671.0161090788429,671.6839479803593,676.2807360919754,677.421446139005,677.5421613410922,678.4353244134342,684.2448688800716
2018-06-10T19:00:00.0,2018-06-09T18:00:00.0,467.26954901373176,473.76731631778074,475.0505411908098,484.5246321611571,491.34641227969803,492.4662849693625,499.47386442249297,502.91906704072403,504.40575323520466,505.661604850834,506.5353342553394,508.5583349299783,512.6865417386363,514.3984818509372,514.8294982897321,520.3591595231983,521.1170093695367,528.2537871837076,533.2176490459798,533.2552391962918,533.6927937030215,536.4875802352653,541.533304524836,542.4998116680844,548.2433045254378,551.3247091249044,556.6241019836377,567.4448499163908,567.7440297697107,569.3531296232939,569.5996576506969,571.5273954316532,574.6974443834567,574.9431150290053,575.1342710025178,577.9965047939704,579.9413117221047,581.8061198624596,588.0196299738097,588.6826532396984,594.4124908926522,595.1003679181226,595.8042373338649,596.8910651474758,598.1425288086979,600.7126161229423,602.6358446726607,603.1284986437695,603.4117110422405,607.6885135342341,608.0957376123996,611.1116860461915,611.5750595967338,611.6461961651319,611.9286934836745,611.9503312537344,612.1884176203351,613.0272672983474,613.156793616873,614.4806667431704,619.047705772306,621.6418902827272,623.2851630002303,624.7372021043809,625.4813221100649,628.5572704989304,630.7229317728373,632.9711579162457,634.0320535132261,638.5611659338522,638.7118854351781,638.9665621888336,640.0937278096956,641.7126778354574,644.4855117312533,647.5953000394691,648.8248061338301,654.4176422817865,658.5467005218003,658.6229110520977,658.9965036483815,659.7259666123716,661.3155650949399,663.1950647898809,663.5465183574291,671.1415958169143,673.2779744033984,676.557725615669,677.5097767307367,678.6342942663377,679.5242102173866,679.5993161651124,680.1557961486113,680.8318137735162,682.4942502704085,686.7812718654994,687.1220935920267,689.0873895606162,699.8235913911604
2018-06-10T20:00:00.0,2018-06-09T18:00:00.0,479.10738329896606,480.89978196976523,481.55001382380027,482.0328820809782,489.2531247816839,489.9215001606105,490.843431861774,492.7954349631532,494.01473694302007,494.09757970558184,499.37354455423565,499.43408666698105,502.44197605366554,502.4456606398832,510.12561234854195,511.371042536645,514.579222186884,521.2197775305926,522.8960310295394,524.8925401157501,525.2417964317057,525.5803444923931,530.5735265687318,536.0980819712784,537.1636952188993,538.5771381252398,540.6383151883177,541.0465440897401,544.0765203575145,544.2939195768356,546.0593391019517,546.7269949205315,548.3192851205833,548.5684926156181,550.0840474537194,551.3985475688252,553.8967504538406,558.5694528050009,558.9627935957445,559.0245648914375,561.0052250569942,562.0629093492706,562.4691361801465,563.5031793879776,566.5939154703642,570.128130431924,572.4678161697794,572.8488427581194,572.8733920404042,575.79869094738,577.8614151648088,580.2210224623474,580.5688454296206,580.8960547066863,588.1889327515707,589.3377066309972,591.4705664521173,591.9655335595004,593.1832314311023,593.6862941670329,594.2045775427724,595.6471032629524,597.1121017716845,600.8973076264435,601.4589866155503,609.6437536061392,610.2998727581709,613.0888877425418,618.8448285600573,618.8787408614853,619.0059936811202,621.2072986729002,622.5210241126159,625.7627997785112,627.3445471705841,627.5072500984049,629.9434117823627,631.5828099183001,633.1978223292914,637.1622662377995,638.8160924602456,649.3887558340783,650.4472087232552,651.8247794494894,655.3213736180835,655.9896405036349,659.4835819479097,661.4070729494235,661.8064629609507,663.0729197168281,665.5414607991114,668.1417696906375,671.1457080591621,674.906743285775,675.3792486378306,678.4511184680348,680.3280618273694,683.698856446111,683.8499068074456
2018-06-10T21:00:00.0,2018-06-09T18:00:00.0,370.63515535933715,377.89769977584035,378.85786187586143,379.495380368252,391.78656691510275,392.8347144351539,392.9396902138266,393.349811299327,394.8471992145267,397.96727477284617,400.3854483759202,402.2716020164363,402.50633659759825,407.15919188382105,410.15577291169245,410.9569117342446,413.43193662986823,420.81039500000463,420.98933827374674,424.8819592817453,433.3117301878467,435.3730027921413,437.55381474972614,440.4708028850793,441.129478023061,447.7560189013023,448.00399638137,450.7832375963614,452.33563585627866,455.2957894852851,455.81741979300637,476.18898649755556,483.40574664128945,485.26288299316604,485.73812857863896,487.551471717948,487.7448097959033,488.40643662192,491.42339274553933,492.36053017841556,494.15285954309815,498.7603620399125,499.36836306481143,500.247109330138,501.9497179470917,502.4973051038657,504.40741722658976,509.42584362629776,509.52600680631105,514.7263743562177,515.3963128800087,515.5066376432183,516.0003929776386,516.2841060088177,516.3243317529686,518.4346091633852,519.4849730100495,520.586875306514,521.7739042337195,522.8535806356836,528.77002267958,530.6820622555696,533.7325944258835,535.7511537655324,546.7944869098146,550.3309060081924,552.2556943061207,557.5704261489781,559.8448112817831,565.7362490149626,567.8931407197391,567.9493389158379,568.7473541485322,569.6709686162692,570.654194526165,574.2432446784144,575.266726733315,576.0806884532793,579.4323427101506,580.2111116581938,588.7531696178,588.8064499190873,592.8176792705419,593.3375683791548,597.6735078134351,600.7579245403941,606.3520686722043,609.1602854888276,610.126421943736,611.6495829981088,612.0323772390046,612.26241625827,619.8328761778442,622.776305879724,627.3875390701392,627.5653802150789,629.0872217680218,645.0193524633866,647.0760000279365
2018-06-10T22:00:00.0,2018-06-09T18:00:00.0,296.5256717470648,297.3655033029886,300.46051201155115,303.91080368790335,305.4218716297592,309.76810897450497,316.06600714334314,316.2471984873835,321.13077200813575,323.85386843847596,324.2601101601095,328.49672351903047,333.0087677680983,334.40245447338543,338.36021497017157,344.1719303866013,346.6174379925618,350.6202852378251,350.7894119261981,350.8741219089097,351.56165855713573,352.2814153786628,352.30639998479325,358.34044145319876,359.59898949264834,359.95066814546,363.41424954890596,364.40885724128486,369.6006321657493,373.69009615473414,376.45516746504404,376.51604125937524,379.40929468705866,381.05477553948344,381.60460336704165,381.86092512378536,386.6109536213829,390.0429035427544,392.9684494992717,398.18766915071006,401.70798220035476,401.7655872810848,402.2592172330883,403.3991083668508,404.84643047002817,404.9911078835392,406.3500929633092,408.9580011689106,409.78200870995545,416.0823750335505,417.85511945150984,419.02616991354523,419.15457845142623,421.84359688568276,425.9485225842408,426.082743010772,428.0321448451011,428.2808812952779,429.5093924774226,430.0439386200352,432.47747501718425,433.83453209252787,437.34629932938105,440.5077649525666,447.6043196156609,449.2600705600115,456.91953878747694,456.9781100586322,460.31080223405337,461.40024365433106,468.0537971576387,470.41362748867107,470.8087443907156,474.32206739788575,480.6960064932922,483.99792466181884,484.2397386089052,486.3176627088342,488.6828248258032,490.09777327836264,500.5994379953812,505.4408048335466,506.35719963732646,508.8274919517015,512.8058380355296,513.9290549170513,517.1760596375639,526.1908556136377,540.152457709678,541.0977095731918,544.2497347431558,558.6346830798266,570.9899169704024,585.5801498777062,587.8869273233743,589.8289568888854,591.1881153479432,605.6105446354571,615.0012166999161
2018-06-10T23:00:00.0,2018-06-09T18:00:00.0,230.339221834155,230.80952992833767,231.50639102291672,232.9389620329972,238.9901918076929,239.05425606940827,242.57645291702255,248.00222303745284,249.59839671490636,253.81606541749957,259.2908637929165,260.9305067614133,262.4161906656642,268.8652398392581,270.06964850100354,270.51010143106,272.1614544138604,272.6067796600934,276.0540190391929,279.0086889979406,279.4307100356716,281.6840229237979,287.3400108735308,287.8531671922442,287.9659675013387,291.2390645834874,291.56492911249546,292.2740346985738,301.2425148111382,301.9892321491101,302.8500095779792,306.5366829581675,307.05188282486785,308.18099818993176,311.053097739411,314.9721644616148,315.5571085884908,317.04635834810335,317.1715065845747,317.2652482691724,318.3051616966558,325.36261298063334,325.7838863519533,330.50091614581464,332.04867451234503,337.6557414033618,337.8181199374579,337.89933580301926,338.7288759478396,340.41788294935105,344.6087179886851,346.79551168011193,350.07283604568653,351.7752374668852,353.6296875723945,354.6789477826487,355.3626192736142,356.7522933244702,357.67281061321154,358.01436214818926,358.6210104112648,359.17476413365847,360.30022690362824,360.595144250375,361.1360670605113,361.4757980638779,364.68365668905375,366.71462225048424,369.71651863429554,370.00805257995034,371.11920173976125,377.8271522184551,381.1153482312425,382.3366774582863,383.2499319740727,386.64971103166226,388.51319500510397,390.2394170119752,396.29949704714636,399.997479182633,401.80668443978857,403.15861071280074,403.3400219998896,404.32523128528896,405.2295980369468,406.1025774899433,406.59722400098775,407.848529376536,409.2578233030829,413.7787687061231,417.1272575571121,421.77723733719415,422.9082300910117,423.03088398358,424.69205414924966,424.7540703003679,429.61951749233964,429.7377437978801,430.052497969926
2018-06-11T00:00:00.0,2018-06-09T18:00:00.0,110.80261562913441,118.47307069742033,120.93247198496621,121.1097834534747,123.69678402017468,124.02708484685479,127.51635059002027,128.05108612371507,129.02458725414468,131.81529878947836,133.278575453281,133.51647303545934,133.65467417009808,138.12345628040742,140.3257269647247,141.28053761159742,142.72659854836974,147.72566361989382,153.68528945952244,155.4884391323929,157.72726423935922,158.44562885554203,171.0865618415432,177.80396977167035,177.96415511226186,178.3837410076885,178.4750076361826,179.48605724960822,183.7358500041952,184.94874707712665,186.2788376400569,187.72467121060404,189.49730777361904,189.91995474981223,190.04084953158147,191.11096246124785,191.29473327050675,192.56706332384647,196.15571793871476,196.5091349163143,197.6563011488738,200.88537974641974,203.2817702433333,204.21241399285753,205.87130048772326,206.01760269366824,207.44254588683188,207.918611100296,208.53738022783284,209.2099282611507,210.39685546614152,211.1110689262396,213.2930580864389,215.5870993514729,215.71418820245083,218.1695808698514,218.40947442045874,219.7030789667424,219.78404056619522,221.4027428064328,223.84149379116448,224.01519082601834,225.35298756071415,225.63090102260998,225.72506899232758,226.3032159716088,226.80319332388163,227.95739330650875,229.99544075782313,234.33004852729937,238.20916628998484,238.49512855966225,239.01888888250411,239.97901257692902,240.0000953557347,240.71388448120442,241.69459660386065,242.5751511206433,246.67952401380455,248.37608846785724,248.47888603464463,250.16424132108756,250.44667188484775,251.82673620924632,253.6327804707115,253.88751176805422,254.53130784355403,255.59420159697208,257.2262927711327,258.38082932157596,260.55884513105656,261.31782008267726,261.72687195075,262.3724513697046,262.7628937311756,263.09990144382033,265.14827576286905,266.1962671861325,266.1971510967193
2018-06-11T01:00:00.0,2018-06-09T18:00:00.0,1.1732845397682752,2.155356746105369,2.944340469221654,3.940726110543686,4.157528438096211,6.185155490489116,6.6796556467215,6.790175586141107,7.48966051014596,7.963044598237278,8.12040135021028,8.144961782428695,8.267109366652377,8.530307493769982,9.755249123409126,9.785147141911658,11.475780515515412,11.508125633895869,11.674356017351647,13.117306338299098,13.30774739922029,13.374608965020286,14.163802315616211,14.519119752055648,14.55982407605038,14.632620076171543,14.724244239291668,14.975317111428698,15.112921665177902,15.196348184609645,15.347226750076683,15.46659698763448,15.476519730504211,15.4831726956406,15.58483729652334,15.69105680732876,15.742572650374614,15.838692688435216,15.918747402917,15.92018845544386,16.00417107287543,16.411714194571825,16.506836559095436,16.898718480944503,17.25257511415257,18.162795678450976,18.612479637012783,19.027313313813934,19.046677298611023,19.146014896357222,19.366380719818668,20.15490835873181,20.445006860603485,21.282768822516786,21.47888764981247,21.497383246140362,22.018304774210414,22.02222272040321,22.140411671624722,22.230288291470355,22.7106984665429,22.85315982924279,22.915342366513684,23.146369458896707,23.24532065220333,23.36864670073066,23.380779036923663,23.786014680120985,24.105052937075943,24.35284198535753,24.41901486130962,24.722119817402575,25.154935223994325,25.628712564930925,25.86456700292322,25.890656918166393,25.953999752432775,26.096187406471543,26.18099234699742,26.311351310936402,26.351734867372446,26.400897441158083,26.59325795267078,27.02177060674908,27.210819936359755,27.86740517596661,27.876934927694585,27.962732824182332,28.0247883139248,28.06224274757485,28.252984864972724,28.27634857393007,28.306755214862346,28.410506465381868,28.760606562691795,28.890127040772022,28.904269783022002,28.950493479878233,30.155800791707815
2018-06-11T02:00:00.0,2018-06-09T18:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
